Genre,index genre
Turn-based strategy (TBS),3796
Arcade,3817
Puzzle,3817
Arcade,3834
Simulator,3834
Sport,3834
Music,3842
Adventure,3872
Racing,3872
Shooter,3872
Sport,3872
Simulator,3886
Strategy,3886
Arcade,3890
Music,3894
Role-playing (RPG),3894
Unknow,3941
Arcade,3942
Arcade,3952
Indie,3976
Platform,3976
Puzzle,3976
Adventure,3978
Puzzle,3978
Arcade,3989
Adventure,3995
Role-playing (RPG),3995
Strategy,3995
Adventure,3997
Simulator,3997
Strategy,3997
Puzzle,4008
Arcade,4024
Shooter,4024
Simulator,4026
Indie,4045
Sport,4045
Strategy,4045
Role-playing (RPG),4056
Indie,4075
Simulator,4075
Indie,4081
Puzzle,4081
Sport,4098
Adventure,4103
Indie,4103
Point-and-click,4103
Puzzle,4103
Adventure,4106
Arcade,4106
Indie,4106
Simulator,4106
Adventure,4113
Platform,4113
Puzzle,4113
Role-playing (RPG),4150
Adventure,4166
Role-playing (RPG),4176
Simulator,4176
Adventure,4178
Arcade,4178
Sport,4183
Adventure,4184
Indie,4184
Platform,4184
Role-playing (RPG),4184
Simulator,4184
Strategy,4184
Puzzle,4197
Racing,4201
Sport,4201
Racing,4210
Fighting,4225
Sport,4225
Indie,4237
Puzzle,4237
Puzzle,4256
Simulator,4281
Indie,4282
Simulator,4282
Unknow,4283
Simulator,4286
Strategy,4286
Turn-based strategy (TBS),4286
Arcade,4295
Unknow,4318
Role-playing (RPG),4322
Racing,4331
Unknow,4333
Sport,4336
Adventure,4338
Puzzle,4338
Indie,4360
Puzzle,4360
Strategy,4360
Point-and-click,4361
Simulator,4362
Puzzle,4366
Indie,4385
Strategy,4385
Music,4392
Role-playing (RPG),4399
Strategy,4399
Turn-based strategy (TBS),4399
Fighting,4405
Puzzle,4408
Tactical,4411
Turn-based strategy (TBS),4411
Arcade,4433
Puzzle,4433
Puzzle,4438
Adventure,4462
Indie,4462
Racing,4462
Simulator,4462
Sport,4462
Arcade,4479
Platform,4479
Racing,4479
Puzzle,4486
Adventure,4493
Adventure,4497
Point-and-click,4497
Arcade,4500
Puzzle,4500
Unknow,4505
Adventure,4513
Arcade,4513
Indie,4513
Music,4513
Indie,4529
Real Time Strategy (RTS),4529
Simulator,4529
Strategy,4529
Tactical,4529
Role-playing (RPG),4532
Arcade,4539
Arcade,4564
Adventure,4585
Indie,4585
Adventure,4599
Indie,4599
Music,4599
Role-playing (RPG),4599
Hack and slash/Beat 'em up,4608
Role-playing (RPG),4608
Arcade,4614
Puzzle,4640
Sport,4641
Arcade,4646
Racing,4646
Sport,4646
Unknow,4659
Arcade,4665
Arcade,4686
Unknow,4687
Adventure,4696
Puzzle,4696
Role-playing (RPG),4714
Simulator,4714
Adventure,4720
Strategy,4720
Turn-based strategy (TBS),4720
Strategy,4741
Adventure,4750
Indie,4750
Point-and-click,4750
Puzzle,4750
Adventure,4768
Indie,4768
Platform,4803
Simulator,4804
Strategy,4804
Arcade,4812
Hack and slash/Beat 'em up,4812
Indie,4812
Indie,4813
Puzzle,4813
Sport,4824
Puzzle,4845
Puzzle,4849
Role-playing (RPG),4889
Simulator,4889
Simulator,4890
Role-playing (RPG),4893
Strategy,4893
Arcade,4898
Adventure,4904
Indie,4904
Strategy,4904
Shooter,4913
Simulator,4913
Sport,4913
Unknow,4920
Adventure,4929
Simulator,4929
Simulator,4950
Sport,4950
Adventure,4964
Puzzle,4964
Puzzle,4969
Racing,4987
Arcade,4992
Puzzle,4994
Adventure,5008
Indie,5008
Role-playing (RPG),5008
Simulator,5008
Puzzle,5043
Strategy,5043
Arcade,5050
Indie,5050
Shooter,5050
Unknow,5053
Unknow,5057
Adventure,5074
Indie,5090
Puzzle,5090
Fighting,5112
Racing,5141
Simulator,5141
Simulator,5168
Sport,5168
Indie,5170
Puzzle,5170
Arcade,5179
Racing,5193
Simulator,5193
Adventure,5194
Racing,5194
Sport,5194
Strategy,5194
Puzzle,5200
Sport,5200
Unknow,5209
Indie,5242
Platform,5242
Fighting,5273
Role-playing (RPG),5273
Turn-based strategy (TBS),5273
Role-playing (RPG),5275
Shooter,5275
Tactical,5275
Adventure,5287
Puzzle,5297
Puzzle,5314
Arcade,5324
Simulator,5327
Strategy,5337
Arcade,5353
Racing,5357
Strategy,5357
Adventure,5358
Music,5358
Simulator,5363
Role-playing (RPG),5366
Strategy,5366
Indie,5394
Puzzle,5394
Simulator,5399
Role-playing (RPG),5413
Racing,5438
Simulator,5438
Adventure,5441
Visual Novel,5441
Arcade,5470
Simulator,5474
Strategy,5474
Arcade,5495
Indie,5498
Simulator,5498
Sport,5498
Arcade,5499
Indie,5499
Unknow,5520
Role-playing (RPG),5528
Strategy,5528
Adventure,5530
Indie,5530
Puzzle,5530
Unknow,5541
Arcade,5548
Simulator,5584
Adventure,5586
Indie,5586
Role-playing (RPG),5586
Strategy,5586
