Genre,index genre
Strategy,1696
Arcade,1701
Indie,1737
Simulator,1737
Strategy,1737
Turn-based strategy (TBS),1737
Adventure,1747
Platform,1747
Indie,1758
Role-playing (RPG),1758
Simulator,1758
Strategy,1758
Arcade,1764
Racing,1764
Arcade,1766
Indie,1770
Simulator,1770
Sport,1770
Shooter,1788
Unknow,1801
Fighting,1803
Adventure,1822
Puzzle,1822
Puzzle,1824
Indie,1836
Strategy,1836
Arcade,1837
Hack and slash/Beat 'em up,1837
Indie,1837
Arcade,1840
Racing,1842
Simulator,1842
Sport,1842
Adventure,1865
Indie,1865
Puzzle,1865
Indie,1873
Platform,1873
Adventure,1883
Indie,1883
Platform,1883
Simulator,1883
Arcade,1885
Hack and slash/Beat 'em up,1885
Shooter,1890
Adventure,1895
Indie,1895
Puzzle,1895
Platform,1911
Simulator,1913
Puzzle,1923
Indie,1935
Strategy,1935
Adventure,1936
Simulator,1936
Role-playing (RPG),1937
Racing,1948
Sport,1948
Shooter,1951
Strategy,1951
Sport,1959
Strategy,1975
Arcade,1976
Platform,1976
Adventure,1981
Point-and-click,1981
Adventure,1992
Indie,1992
Role-playing (RPG),1992
Adventure,2008
Puzzle,2008
Unknow,2011
Shooter,2023
Adventure,2026
Indie,2026
Point-and-click,2026
Puzzle,2026
Adventure,2027
Indie,2027
Platform,2027
Puzzle,2027
Hack and slash/Beat 'em up,2030
Role-playing (RPG),2030
Sport,2036
Real Time Strategy (RTS),2040
Strategy,2040
Arcade,2050
Shooter,2058
Adventure,2066
Point-and-click,2066
Indie,2070
Puzzle,2070
Adventure,2082
Fighting,2082
Simulator,2082
Puzzle,2087
Racing,2092
Adventure,2098
Indie,2098
Point-and-click,2098
Puzzle,2098
Indie,2102
Strategy,2102
Puzzle,2105
Strategy,2105
Adventure,2108
Puzzle,2108
Indie,2123
Strategy,2123
Adventure,2125
Puzzle,2125
Indie,2129
Simulator,2129
Strategy,2134
Arcade,2142
Simulator,2142
Adventure,2145
Hack and slash/Beat 'em up,2145
Indie,2145
Role-playing (RPG),2145
Indie,2164
Sport,2164
Sport,2171
Adventure,2172
Indie,2172
Indie,2173
Simulator,2173
Strategy,2173
Indie,2175
Puzzle,2175
Strategy,2175
Fighting,2180
Racing,2199
Adventure,2206
Strategy,2206
Fighting,2208
Hack and slash/Beat 'em up,2222
Role-playing (RPG),2222
Indie,2228
Puzzle,2228
Simulator,2228
Indie,2247
Shooter,2247
Simulator,2248
Strategy,2248
Turn-based strategy (TBS),2248
Simulator,2255
Strategy,2255
Tactical,2255
Adventure,2257
Arcade,2257
Indie,2257
Strategy,2257
Indie,2270
Simulator,2270
Sport,2271
Fighting,2279
Indie,2284
Shooter,2284
Arcade,2289
Indie,2289
Indie,2297
Puzzle,2297
Adventure,2301
Indie,2301
Puzzle,2301
Strategy,2301
Adventure,2307
Indie,2307
Simulator,2312
Adventure,2323
Shooter,2323
Adventure,2326
Platform,2326
Puzzle,2326
Strategy,2327
Adventure,2331
Indie,2331
Role-playing (RPG),2331
Simulator,2331
Role-playing (RPG),2342
Simulator,2342
Arcade,2353
Indie,2353
Puzzle,2353
Adventure,2357
Indie,2357
Arcade,2361
Shooter,2361
Simulator,2361
Strategy,2361
Puzzle,2363
Strategy,2368
Tactical,2368
Role-playing (RPG),2369
Turn-based strategy (TBS),2369
Unknow,2372
Shooter,2375
Simulator,2375
Sport,2375
Platform,2376
Puzzle,2376
Adventure,2381
Point-and-click,2381
Puzzle,2381
Simulator,2390
Strategy,2390
Turn-based strategy (TBS),2390
Indie,2391
Sport,2391
Role-playing (RPG),2398
Strategy,2398
Arcade,2400
Simulator,2400
Sport,2404
Hack and slash/Beat 'em up,2406
Indie,2406
Unknow,2413
Adventure,2417
Indie,2417
Point-and-click,2417
Puzzle,2417
Adventure,2422
Adventure,2427
Adventure,2436
Indie,2436
Role-playing (RPG),2436
Strategy,2436
Indie,2438
Platform,2438
Hack and slash/Beat 'em up,2442
Adventure,2446
Indie,2446
Puzzle,2446
Indie,2458
Puzzle,2458
Strategy,2458
Adventure,2469
Point-and-click,2469
Adventure,2473
Puzzle,2473
Indie,2475
Quiz/Trivia,2475
Role-playing (RPG),2475
Strategy,2475
Adventure,2477
Indie,2477
Point-and-click,2477
Puzzle,2477
Arcade,2479
Fighting,2479
Indie,2496
Role-playing (RPG),2496
Arcade,2504
Sport,2504
Adventure,2508
Indie,2508
Quiz/Trivia,2508
Strategy,2508
Turn-based strategy (TBS),2508
Strategy,2514
Turn-based strategy (TBS),2514
Simulator,2527
Sport,2527
Arcade,2541
Puzzle,2541
Simulator,2543
Turn-based strategy (TBS),2545
Arcade,2549
Simulator,2549
Arcade,2552
Sport,2552
Adventure,2556
Indie,2556
Platform,2556
Arcade,2579
Indie,2579
Racing,2579
Sport,2579
Quiz/Trivia,2601
Strategy,2601
Turn-based strategy (TBS),2601
Unknow,2604
Adventure,2607
Indie,2607
Platform,2607
Puzzle,2607
Role-playing (RPG),2621
